Channel,Time,Phase,ADC,TOT,ToA
30,162.5,7,114,0,0
30,164.0625,7,113,0,0
30,187.5,7,111,0,0
30,189.0625,7,111,0,0
30,212.5,7,111,0,0
30,214.0625,7,110,0,0
30,237.5,7,108,0,0
30,239.0625,7,109,0,0
31,12.5,7,105,0,0
31,14.0625,7,102,0,0
31,37.5,7,104,0,0
31,39.0625,7,102,0,0
31,62.5,7,104,0,0
31,64.0625,7,105,0,0
31,87.5,7,155,0,0
31,89.0625,7,165,0,0
31,112.5,7,144,0,776
31,114.0625,7,141,0,741
31,137.5,7,119,0,0
31,139.0625,7,119,0,0
31,162.5,7,111,0,0
31,164.0625,7,113,0,0
31,187.5,7,110,0,0
31,189.0625,7,110,0,0
31,212.5,7,109,0,0
31,214.0625,7,109,0,0
31,237.5,7,109,0,0
31,239.0625,7,106,0,0
32,12.5,7,104,0,0
32,14.0625,7,105,0,0
32,37.5,7,104,0,0
32,39.0625,7,105,0,0
32,62.5,7,104,0,0
32,64.0625,7,105,0,0
32,87.5,7,161,0,0
32,89.0625,7,171,0,0
32,112.5,7,147,0,768
32,114.0625,7,142,0,740
32,137.5,7,120,0,0
32,139.0625,7,120,0,0
32,162.5,7,113,0,0
32,164.0625,7,114,0,0
32,187.5,7,111,0,0
32,189.0625,7,111,0,0
32,212.5,7,110,0,0
32,214.0625,7,109,0,0
32,237.5,7,109,0,0
32,239.0625,7,108,0,0
33,12.5,7,100,0,0
33,14.0625,7,102,0,0
33,37.5,7,103,0,0
33,39.0625,7,102,0,0
33,62.5,7,102,0,0
33,64.0625,7,103,0,0
33,87.5,7,156,0,0
33,89.0625,7,166,0,0
33,112.5,7,141,0,784
33,114.0625,7,141,0,757
33,137.5,7,119,0,0
33,139.0625,7,117,0,0
33,162.5,7,111,0,0
33,164.0625,7,112,0,0
33,187.5,7,111,0,0
33,189.0625,7,110,0,0
33,212.5,7,109,0,0
33,214.0625,7,108,0,0
33,237.5,7,108,0,0
33,239.0625,7,106,0,0
34,12.5,7,99,0,0
34,14.0625,7,101,0,0
34,37.5,7,99,0,0
34,39.0625,7,101,0,0
34,62.5,7,102,0,0
34,64.0625,7,102,0,0
34,87.5,7,156,0,0
34,89.0625,7,167,0,0
34,112.5,7,143,0,890
34,114.0625,7,140,0,787
34,137.5,7,118,0,0
34,139.0625,7,118,0,0
34,162.5,7,111,0,0
34,164.0625,7,111,0,0
34,187.5,7,108,0,0
34,189.0625,7,110,0,0
34,212.5,7,107,0,0
34,214.0625,7,108,0,0
34,237.5,7,105,0,0
34,239.0625,7,106,0,0
35,12.5,7,104,0,0
35,14.0625,7,104,0,0
35,37.5,7,105,0,0
35,39.0625,7,104,0,0
35,62.5,7,104,0,0
35,64.0625,7,104,0,0
35,87.5,7,157,0,0
35,89.0625,7,167,0,0
35,112.5,7,144,0,901
35,114.0625,7,140,0,796
35,137.5,7,120,0,0
35,139.0625,7,118,0,0
35,162.5,7,114,0,0
35,164.0625,7,113,0,0
35,187.5,7,111,0,0
35,189.0625,7,109,0,0
35,212.5,7,108,0,0
35,214.0625,7,109,0,0
35,237.5,7,108,0,0
35,239.0625,7,106,0,0
36,12.5,7,101,0,0
36,14.0625,7,101,0,0
36,37.5,7,103,0,0
36,39.0625,7,102,0,0
36,62.5,7,101,0,0
36,64.0625,7,101,0,0
36,87.5,7,157,0,0
36,89.0625,7,165,0,0
36,112.5,7,144,0,881
36,114.0625,7,141,0,810
36,137.5,7,118,0,0
36,139.0625,7,119,0,0
36,162.5,7,110,0,0
36,164.0625,7,111,0,0
36,187.5,7,110,0,0
36,189.0625,7,108,0,0
36,212.5,7,107,0,0
36,214.0625,7,107,0,0
36,237.5,7,105,0,0
36,239.0625,7,106,0,0
39,12.5,7,98,0,0
39,14.0625,7,98,0,0
39,37.5,7,98,0,0
39,39.0625,7,98,0,0
39,62.5,7,98,0,0
39,64.0625,7,97,0,0
39,87.5,7,150,0,0
39,89.0625,7,160,0,0
39,112.5,7,141,0,353
39,114.0625,7,137,0,267
39,137.5,7,116,0,0
39,139.0625,7,116,0,0
39,162.5,7,110,0,0
39,164.0625,7,110,0,0
39,187.5,7,106,0,0
39,189.0625,7,105,0,0
39,212.5,7,105,0,0
39,214.0625,7,104,0,0
39,237.5,7,101,0,0
39,239.0625,7,102,0,0
40,12.5,7,101,0,0
40,14.0625,7,99,0,0
40,37.5,7,100,0,0
40,39.0625,7,100,0,0
40,62.5,7,100,0,0
40,64.0625,7,100,0,0
40,87.5,7,152,0,0
40,89.0625,7,160,0,0
40,112.5,7,142,0,323
40,114.0625,7,139,0,256
40,137.5,7,116,0,0
40,139.0625,7,117,0,0
